Date,BAB
6/24/2003,24308.93521
6/25/2003,24302.30553
6/26/2003,24093.65335
6/27/2003,24198.59338
6/30/2003,24177.70899
7/1/2003,24215.33295
7/2/2003,24201.2139
7/3/2003,24285.94464
7/4/2003,24285.03732
7/7/2003,23962.46627
7/8/2003,23722.62338
7/9/2003,23581.43564
7/10/2003,23705.8299
7/11/2003,23697.98892
7/14/2003,23467.9844
7/15/2003,23503.84179
7/16/2003,23715.46398
7/17/2003,24217.05369
7/18/2003,24150.69217
7/21/2003,24213.31859
7/22/2003,24144.61957
7/23/2003,24146.46453
7/24/2003,24421.14086
7/25/2003,24291.81384
7/28/2003,24199.09587
7/29/2003,24325.3106
7/30/2003,24499.1214
7/31/2003,24313.02021
8/1/2003,24258.65935
8/4/2003,24194.12163
8/5/2003,24344.75216
8/6/2003,24561.41355
8/7/2003,24757.50341
8/8/2003,24802.10154
8/11/2003,24858.02617
8/12/2003,24815.38619
8/13/2003,24847.27439
8/14/2003,24755.87547
8/15/2003,24847.58492
8/18/2003,24690.71822
8/19/2003,24701.62179
8/20/2003,24739.297
8/21/2003,24594.73799
8/22/2003,24475.76407
8/25/2003,24534.95872
8/26/2003,24536.71264
8/27/2003,24540.28215
8/28/2003,24306.52016
8/29/2003,24293.44184
9/1/2003,24292.42547
9/2/2003,24258.18627
9/3/2003,24216.41985
9/4/2003,24070.83154
9/5/2003,24012.74597
9/8/2003,23827.26392
9/9/2003,23690.86046
9/10/2003,24045.36141
9/11/2003,23994.8258
9/12/2003,23971.99408
9/15/2003,23931.93139
9/16/2003,23767.5661
9/17/2003,23750.01378
9/18/2003,23622.101
9/19/2003,23717.55416
9/22/2003,23843.2561
9/23/2003,23631.19335
9/24/2003,23910.81683
9/25/2003,24215.78577
9/26/2003,24535.36048
9/29/2003,24521.46713
9/30/2003,24711.03499
10/1/2003,24828.90041
10/2/2003,24708.40447
10/3/2003,24537.03881
10/6/2003,24452.6955
10/7/2003,24471.63534
10/8/2003,24406.49722
10/9/2003,24269.30612
10/10/2003,24272.63468
10/13/2003,24281.6531
10/14/2003,24212.72531
10/15/2003,24224.10475
10/16/2003,24157.92507
10/17/2003,24377.95048
10/20/2003,24356.05382
